country_iso,scheme,eea_scope,section,product,fee_type,column,value_raw,percent,cap_currency,cap_amount,percent_plus,plus_currency,plus_amount,page,source
DE,MASTERCARD,DOMESTIC,Auto (table),Mastercard Consumer Credit,,Fee Tier,"Contactless 
Chip
Enhanced Electronic
Merchant UCAF
Full UCAF
MasterPass Wallet
Base
Purchase at ATM (1)
Purchase at ATM (late presentment) (1)",,,,,,,1.0,table
DE,MASTERCARD,DOMESTIC,Auto (table),Mastercard Consumer Credit,,General,"0.30%
0.30%
0.30%
0.30%
0.30%
0.30%
0.30%
0.30%
0.30%",0.3,,,,,,1.0,table
DE,MASTERCARD,DOMESTIC,Auto (table),"Mastercard Consumer Debit
Mastercard Consumer Prepaid",,Fee Tier,"Contactless 
Chip
Enhanced Electronic
Merchant UCAF
Full UCAF
MasterPass Wallet
Base
Purchase at ATM (1)
Purchase at ATM (late presentment) (1)",,,,,,,1.0,table
DE,MASTERCARD,DOMESTIC,Auto (table),"Mastercard Consumer Debit
Mastercard Consumer Prepaid",,General,"0.20%
0.20%
0.20%
0.20%
0.20%
0.20%
0.20%
0.20%
0.20%",0.2,,,,,,1.0,table
DE,MASTERCARD,DOMESTIC,Auto (table),"Maestro Consumer
Maestro Consumer Prepaid",,Fee Tier,"Contactless 
Chip&PIN
Secure e-commerce
Mail Order /Telephone Order (2)
Base
Petrol (MCC 5541 & 5542) (3)
Purchase at ATM (1)
Purchase at ATM (late presentment) (1)",,,,,,,1.0,table
DE,MASTERCARD,DOMESTIC,Auto (table),"Maestro Consumer
Maestro Consumer Prepaid",,General,"0.20%
0.20%
0.20%
0.20%
0.20%
0.20%
0.20%
0.20%",0.2,,,,,,1.0,table
DE,MASTERCARD,DOMESTIC,Auto (table),Debit Mastercard Consumer,,Fee Tier,"Contactless 
Secured
Enhanced Electronic
Base
Purchase at ATM (1)
Purchase at ATM (late presentment) (1)",,,,,,,1.0,table
DE,MASTERCARD,DOMESTIC,Auto (table),Debit Mastercard Consumer,,General,"0.20%
0.20%
0.20%
0.20%
0.20%
0.20%",0.2,,,,,,1.0,table
DE,MASTERCARD,DOMESTIC,Auto (table),"Mastercard Corporate
Mastercard FleetCard
Mastercard Purchasing Card
Mastercard Professional Card
Mastercard World Preferred",,Fee Tier,"Contactless 
Chip
MasterPass Wallet
Base
Purchase at ATM (1)
Purchase at ATM (late presentment) (1)",,,,,,,2.0,table
DE,MASTERCARD,DOMESTIC,Auto (table),"Mastercard Corporate
Mastercard FleetCard
Mastercard Purchasing Card
Mastercard Professional Card
Mastercard World Preferred",,General,"1.88%
1.88%
2.05%
2.05%
1.88%
2.05%",1.88,,,,,,2.0,table
